	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	13	11	3	6	2.55	2.50	84.61538461538461	0.0	3	800
1	13	11	3	6	2.55	2.50	84.61538461538461	0.0	4	800
2	13	10	3	6	3.00	3.00	76.92307692307692	0.0	5	800
3	13	8	3	5	3.81	3.50	61.53846153846153	33.33333333333334	6	800
4	13	6	3	4	5.00	4.00	46.15384615384615	66.66666666666667	7	800
5	13	11	3	6	2.55	2.50	84.61538461538461	0.0	3	850
6	13	11	3	6	2.55	2.50	84.61538461538461	0.0	4	850
7	13	10	3	6	3.00	3.00	76.92307692307692	0.0	5	850
8	13	8	3	5	3.81	3.50	61.53846153846153	33.33333333333334	6	850
9	13	6	3	4	5.00	4.00	46.15384615384615	66.66666666666667	7	850
10	13	11	3	6	2.55	2.50	84.61538461538461	0.0	3	900
11	13	11	3	6	2.55	2.50	84.61538461538461	0.0	4	900
12	13	10	3	6	3.00	3.00	76.92307692307692	0.0	5	900
13	13	8	3	5	3.81	3.50	61.53846153846153	33.33333333333334	6	900
14	13	6	3	4	5.00	4.00	46.15384615384615	66.66666666666667	7	900
15	13	11	3	6	2.55	2.50	84.61538461538461	0.0	3	950
16	13	11	3	6	2.55	2.50	84.61538461538461	0.0	4	950
17	13	10	3	6	3.00	3.00	76.92307692307692	0.0	5	950
18	13	8	3	5	3.81	3.50	61.53846153846153	33.33333333333334	6	950
19	13	6	3	4	5.00	4.00	46.15384615384615	66.66666666666667	7	950
20	13	12	3	6	2.24	2.00	92.3076923076923	0.0	3	1000
21	13	12	3	6	2.24	2.00	92.3076923076923	0.0	4	1000
22	13	11	3	6	2.55	2.50	84.61538461538461	0.0	5	1000
23	13	9	3	5	3.16	3.00	69.23076923076923	33.33333333333334	6	1000
24	13	7	3	4	4.30	3.50	53.84615384615385	66.66666666666667	7	1000
25	13	12	3	6	2.24	2.00	92.3076923076923	0.0	3	1050
26	13	12	3	6	2.24	2.00	92.3076923076923	0.0	4	1050
27	13	11	3	6	2.55	2.50	84.61538461538461	0.0	5	1050
28	13	10	3	5	2.55	2.50	76.92307692307692	33.33333333333334	6	1050
29	13	7	3	4	4.30	3.50	53.84615384615385	66.66666666666667	7	1050
30	13	12	3	8	3.61	3.00	92.3076923076923	-66.66666666666669	3	1100
31	13	12	3	8	3.61	3.00	92.3076923076923	-66.66666666666669	4	1100
32	13	11	3	8	3.81	3.50	84.61538461538461	-66.66666666666669	5	1100
33	13	10	3	6	3.00	3.00	76.92307692307692	0.0	6	1100
34	13	7	3	5	4.47	4.00	53.84615384615385	33.33333333333334	7	1100
35	13	12	3	8	3.61	3.00	92.3076923076923	-66.66666666666669	3	1150
36	13	12	3	8	3.61	3.00	92.3076923076923	-66.66666666666669	4	1150
37	13	11	3	8	3.81	3.50	84.61538461538461	-66.66666666666669	5	1150
38	13	10	3	6	3.00	3.00	76.92307692307692	0.0	6	1150
39	13	7	3	5	4.47	4.00	53.84615384615385	33.33333333333334	7	1150
40	13	13	3	8	3.54	2.50	100.0	-66.66666666666669	3	1200
41	13	13	3	8	3.54	2.50	100.0	-66.66666666666669	4	1200
42	13	12	3	8	3.61	3.00	92.3076923076923	-66.66666666666669	5	1200
43	13	11	3	6	2.55	2.50	84.61538461538461	0.0	6	1200
44	13	8	3	5	3.81	3.50	61.53846153846153	33.33333333333334	7	1200
45	13	13	3	8	3.54	2.50	100.0	-66.66666666666669	3	1250
46	13	13	3	8	3.54	2.50	100.0	-66.66666666666669	4	1250
47	13	12	3	8	3.61	3.00	92.3076923076923	-66.66666666666669	5	1250
48	13	11	3	6	2.55	2.50	84.61538461538461	0.0	6	1250
49	13	8	3	5	3.81	3.50	61.53846153846153	33.33333333333334	7	1250
