	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	800
1	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	800
2	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	800
3	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	800
4	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	800
5	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	850
6	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	850
7	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	850
8	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	850
9	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	850
10	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	900
11	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	900
12	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	900
13	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	900
14	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	900
15	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	950
16	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	950
17	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	950
18	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	950
19	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	950
20	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	1000
21	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	1000
22	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	1000
23	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	1000
24	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	1000
25	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	1050
26	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	1050
27	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	1050
28	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	1050
29	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	1050
30	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	1100
31	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	1100
32	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	1100
33	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	1100
34	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	1100
35	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	1150
36	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	1150
37	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	1150
38	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	1150
39	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	1150
40	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	1200
41	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	1200
42	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	1200
43	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	1200
44	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	1200
45	5	3	9	14	3.81	3.50	60.0	44.44444444444444	3	1250
46	5	3	9	13	3.16	3.00	60.0	55.55555555555556	4	1250
47	5	2	9	13	3.54	3.50	40.0	55.55555555555556	5	1250
48	5	2	9	8	2.24	2.00	40.0	88.88888888888889	6	1250
49	5	2	9	7	2.55	2.50	40.0	77.77777777777777	7	1250
