	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	11	9	6	9	2.55	2.50	81.81818181818181	50.0	3	800
1	11	9	6	9	2.55	2.50	81.81818181818181	50.0	4	800
2	11	9	6	8	2.00	2.00	81.81818181818181	66.66666666666667	5	800
3	11	8	6	6	2.12	1.50	72.72727272727273	100.0	6	800
4	11	7	6	2	4.00	4.00	63.63636363636363	33.33333333333334	7	800
5	11	9	6	9	2.55	2.50	81.81818181818181	50.0	3	850
6	11	9	6	9	2.55	2.50	81.81818181818181	50.0	4	850
7	11	9	6	8	2.00	2.00	81.81818181818181	66.66666666666667	5	850
8	11	8	6	6	2.12	1.50	72.72727272727273	100.0	6	850
9	11	7	6	2	4.00	4.00	63.63636363636363	33.33333333333334	7	850
10	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	3	900
11	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	4	900
12	11	9	6	9	2.55	2.50	81.81818181818181	50.0	5	900
13	11	8	6	7	2.24	2.00	72.72727272727273	83.33333333333334	6	900
14	11	7	6	3	3.54	3.50	63.63636363636363	50.0	7	900
15	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	3	950
16	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	4	950
17	11	9	6	9	2.55	2.50	81.81818181818181	50.0	5	950
18	11	8	6	7	2.24	2.00	72.72727272727273	83.33333333333334	6	950
19	11	7	6	3	3.54	3.50	63.63636363636363	50.0	7	950
20	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	3	1000
21	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	4	1000
22	11	9	6	9	2.55	2.50	81.81818181818181	50.0	5	1000
23	11	8	6	7	2.24	2.00	72.72727272727273	83.33333333333334	6	1000
24	11	7	6	3	3.54	3.50	63.63636363636363	50.0	7	1000
25	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	3	1050
26	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	4	1050
27	11	9	6	9	2.55	2.50	81.81818181818181	50.0	5	1050
28	11	8	6	7	2.24	2.00	72.72727272727273	83.33333333333334	6	1050
29	11	7	6	3	3.54	3.50	63.63636363636363	50.0	7	1050
30	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	3	1100
31	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	4	1100
32	11	9	6	9	2.55	2.50	81.81818181818181	50.0	5	1100
33	11	8	6	7	2.24	2.00	72.72727272727273	83.33333333333334	6	1100
34	11	7	6	3	3.54	3.50	63.63636363636363	50.0	7	1100
35	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	3	1150
36	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	4	1150
37	11	9	6	9	2.55	2.50	81.81818181818181	50.0	5	1150
38	11	8	6	7	2.24	2.00	72.72727272727273	83.33333333333334	6	1150
39	11	7	6	3	3.54	3.50	63.63636363636363	50.0	7	1150
40	11	9	6	11	3.81	3.50	81.81818181818181	16.666666666666657	3	1200
41	11	9	6	11	3.81	3.50	81.81818181818181	16.666666666666657	4	1200
42	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	5	1200
43	11	8	6	8	2.55	2.50	72.72727272727273	66.66666666666667	6	1200
44	11	7	6	4	3.16	3.00	63.63636363636363	66.66666666666667	7	1200
45	11	9	6	11	3.81	3.50	81.81818181818181	16.666666666666657	3	1250
46	11	9	6	11	3.81	3.50	81.81818181818181	16.666666666666657	4	1250
47	11	9	6	10	3.16	3.00	81.81818181818181	33.33333333333334	5	1250
48	11	8	6	8	2.55	2.50	72.72727272727273	66.66666666666667	6	1250
49	11	7	6	4	3.16	3.00	63.63636363636363	66.66666666666667	7	1250
