	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	2	1	1	2	1.00	1.00	50.0	0.0	3	800
1	2	1	1	2	1.00	1.00	50.0	0.0	4	800
2	2	1	1	1	0.71	0.50	50.0	100.0	5	800
3	2	1	1	1	0.71	0.50	50.0	100.0	6	800
4	2	0	1	1	1.41	1.00	0.0	100.0	7	800
5	2	1	1	2	1.00	1.00	50.0	0.0	3	850
6	2	1	1	2	1.00	1.00	50.0	0.0	4	850
7	2	1	1	1	0.71	0.50	50.0	100.0	5	850
8	2	1	1	1	0.71	0.50	50.0	100.0	6	850
9	2	0	1	1	1.41	1.00	0.0	100.0	7	850
10	2	1	1	2	1.00	1.00	50.0	0.0	3	900
11	2	1	1	2	1.00	1.00	50.0	0.0	4	900
12	2	1	1	1	0.71	0.50	50.0	100.0	5	900
13	2	1	1	1	0.71	0.50	50.0	100.0	6	900
14	2	0	1	1	1.41	1.00	0.0	100.0	7	900
15	2	1	1	2	1.00	1.00	50.0	0.0	3	950
16	2	1	1	2	1.00	1.00	50.0	0.0	4	950
17	2	1	1	1	0.71	0.50	50.0	100.0	5	950
18	2	1	1	1	0.71	0.50	50.0	100.0	6	950
19	2	0	1	1	1.41	1.00	0.0	100.0	7	950
20	2	1	1	2	1.00	1.00	50.0	0.0	3	1000
21	2	1	1	2	1.00	1.00	50.0	0.0	4	1000
22	2	1	1	1	0.71	0.50	50.0	100.0	5	1000
23	2	1	1	1	0.71	0.50	50.0	100.0	6	1000
24	2	0	1	1	1.41	1.00	0.0	100.0	7	1000
25	2	1	1	2	1.00	1.00	50.0	0.0	3	1050
26	2	1	1	2	1.00	1.00	50.0	0.0	4	1050
27	2	1	1	1	0.71	0.50	50.0	100.0	5	1050
28	2	1	1	1	0.71	0.50	50.0	100.0	6	1050
29	2	0	1	1	1.41	1.00	0.0	100.0	7	1050
30	2	1	1	2	1.00	1.00	50.0	0.0	3	1100
31	2	1	1	2	1.00	1.00	50.0	0.0	4	1100
32	2	1	1	1	0.71	0.50	50.0	100.0	5	1100
33	2	1	1	1	0.71	0.50	50.0	100.0	6	1100
34	2	0	1	1	1.41	1.00	0.0	100.0	7	1100
35	2	1	1	2	1.00	1.00	50.0	0.0	3	1150
36	2	1	1	2	1.00	1.00	50.0	0.0	4	1150
37	2	1	1	1	0.71	0.50	50.0	100.0	5	1150
38	2	1	1	1	0.71	0.50	50.0	100.0	6	1150
39	2	0	1	1	1.41	1.00	0.0	100.0	7	1150
