	IN	OUT	RMSE	MAE	enough_zero	delta
118	3	4	0.71	0.50	19	1300
119	3	4	0.71	0.50	20	1300
120	3	4	0.71	0.50	21	1300
121	3	4	0.71	0.50	22	1300
122	3	4	0.71	0.50	23	1300
123	3	4	0.71	0.50	24	1300
124	3	3	0.00	0.00	25	1300
125	2	2	1.00	1.00	26	1300
126	2	2	1.00	1.00	27	1300
127	2	2	1.00	1.00	28	1300
128	2	2	1.00	1.00	29	1300
129	2	2	1.00	1.00	30	1300
130	2	1	1.58	1.50	31	1300
131	0	1	2.55	2.50	32	1300
132	0	1	2.55	2.50	33	1300
133	5	6	2.55	2.50	15	1350
134	4	5	1.58	1.50	16	1350
135	4	5	1.58	1.50	17	1350
136	3	4	0.71	0.50	18	1350
137	3	4	0.71	0.50	19	1350
138	3	4	0.71	0.50	20	1350
139	3	4	0.71	0.50	21	1350
140	3	4	0.71	0.50	22	1350
141	3	4	0.71	0.50	23	1350
142	3	4	0.71	0.50	24	1350
143	3	3	0.00	0.00	25	1350
144	2	2	1.00	1.00	26	1350
145	2	2	1.00	1.00	27	1350
146	2	2	1.00	1.00	28	1350
147	2	2	1.00	1.00	29	1350
148	2	2	1.00	1.00	30	1350
149	2	1	1.58	1.50	31	1350
150	0	1	2.55	2.50	32	1350
151	0	1	2.55	2.50	33	1350
152	5	6	2.55	2.50	15	1400
153	4	5	1.58	1.50	16	1400
154	4	5	1.58	1.50	17	1400
155	3	4	0.71	0.50	18	1400
156	3	4	0.71	0.50	19	1400
157	3	4	0.71	0.50	20	1400
158	3	4	0.71	0.50	21	1400
159	3	4	0.71	0.50	22	1400
160	3	4	0.71	0.50	23	1400
161	3	4	0.71	0.50	24	1400
162	3	3	0.00	0.00	25	1400
163	2	2	1.00	1.00	26	1400
164	2	2	1.00	1.00	27	1400
165	2	2	1.00	1.00	28	1400
166	2	2	1.00	1.00	29	1400
167	2	2	1.00	1.00	30	1400
168	2	1	1.58	1.50	31	1400
169	0	1	2.55	2.50	32	1400
170	0	1	2.55	2.50	33	1400
171	5	6	2.55	2.50	15	1450
172	4	5	1.58	1.50	16	1450
173	4	5	1.58	1.50	17	1450
174	3	4	0.71	0.50	18	1450
175	3	4	0.71	0.50	19	1450
176	3	4	0.71	0.50	20	1450
177	3	4	0.71	0.50	21	1450
178	3	4	0.71	0.50	22	1450
179	3	4	0.71	0.50	23	1450
180	3	4	0.71	0.50	24	1450
181	3	3	0.00	0.00	25	1450
182	2	2	1.00	1.00	26	1450
183	2	2	1.00	1.00	27	1450
184	2	2	1.00	1.00	28	1450
185	2	2	1.00	1.00	29	1450
186	2	2	1.00	1.00	30	1450
187	2	1	1.58	1.50	31	1450
188	0	1	2.55	2.50	32	1450
189	0	1	2.55	2.50	33	1450
190	5	6	2.55	2.50	15	1500
191	4	5	1.58	1.50	16	1500
192	4	5	1.58	1.50	17	1500
193	3	4	0.71	0.50	18	1500
194	3	4	0.71	0.50	19	1500
195	3	4	0.71	0.50	20	1500
196	3	4	0.71	0.50	21	1500
197	3	4	0.71	0.50	22	1500
198	3	4	0.71	0.50	23	1500
199	3	4	0.71	0.50	24	1500
200	3	3	0.00	0.00	25	1500
201	2	2	1.00	1.00	26	1500
202	2	2	1.00	1.00	27	1500
203	2	2	1.00	1.00	28	1500
204	2	2	1.00	1.00	29	1500
205	2	2	1.00	1.00	30	1500
206	2	1	1.58	1.50	31	1500
207	0	1	2.55	2.50	32	1500
208	0	1	2.55	2.50	33	1500
209	5	6	2.55	2.50	15	1550
210	4	5	1.58	1.50	16	1550
211	4	5	1.58	1.50	17	1550
212	3	4	0.71	0.50	18	1550
213	3	4	0.71	0.50	19	1550
214	3	4	0.71	0.50	20	1550
215	3	4	0.71	0.50	21	1550
216	3	4	0.71	0.50	22	1550
217	3	4	0.71	0.50	23	1550
218	3	4	0.71	0.50	24	1550
219	3	3	0.00	0.00	25	1550
220	2	2	1.00	1.00	26	1550
221	2	2	1.00	1.00	27	1550
222	2	2	1.00	1.00	28	1550
223	2	2	1.00	1.00	29	1550
224	2	2	1.00	1.00	30	1550
225	2	1	1.58	1.50	31	1550
226	0	1	2.55	2.50	32	1550
227	0	1	2.55	2.50	33	1550
228	5	6	2.55	2.50	15	1600
229	4	5	1.58	1.50	16	1600
230	4	5	1.58	1.50	17	1600
231	3	4	0.71	0.50	18	1600
232	3	4	0.71	0.50	19	1600
233	3	4	0.71	0.50	20	1600
234	3	4	0.71	0.50	21	1600
235	3	4	0.71	0.50	22	1600
236	3	4	0.71	0.50	23	1600
237	3	4	0.71	0.50	24	1600
238	3	3	0.00	0.00	25	1600
239	2	2	1.00	1.00	26	1600
240	2	2	1.00	1.00	27	1600
241	2	2	1.00	1.00	28	1600
242	2	2	1.00	1.00	29	1600
243	2	2	1.00	1.00	30	1600
244	2	1	1.58	1.50	31	1600
245	0	1	2.55	2.50	32	1600
246	0	1	2.55	2.50	33	1600
247	5	6	2.55	2.50	15	1650
248	4	5	1.58	1.50	16	1650
249	4	5	1.58	1.50	17	1650
250	3	4	0.71	0.50	18	1650
251	3	4	0.71	0.50	19	1650
252	3	4	0.71	0.50	20	1650
253	3	4	0.71	0.50	21	1650
254	3	4	0.71	0.50	22	1650
255	3	4	0.71	0.50	23	1650
256	3	4	0.71	0.50	24	1650
257	3	3	0.00	0.00	25	1650
258	2	2	1.00	1.00	26	1650
259	2	2	1.00	1.00	27	1650
260	2	2	1.00	1.00	28	1650
261	2	2	1.00	1.00	29	1650
262	2	2	1.00	1.00	30	1650
263	2	1	1.58	1.50	31	1650
264	0	1	2.55	2.50	32	1650
265	0	1	2.55	2.50	33	1650
266	5	6	2.55	2.50	15	1700
267	4	5	1.58	1.50	16	1700
268	4	5	1.58	1.50	17	1700
269	3	4	0.71	0.50	18	1700
270	3	4	0.71	0.50	19	1700
271	3	4	0.71	0.50	20	1700
272	3	4	0.71	0.50	21	1700
273	3	4	0.71	0.50	22	1700
274	3	4	0.71	0.50	23	1700
275	3	4	0.71	0.50	24	1700
276	3	3	0.00	0.00	25	1700
277	2	2	1.00	1.00	26	1700
278	2	2	1.00	1.00	27	1700
279	2	2	1.00	1.00	28	1700
280	2	2	1.00	1.00	29	1700
281	2	2	1.00	1.00	30	1700
282	2	1	1.58	1.50	31	1700
283	0	1	2.55	2.50	32	1700
284	0	1	2.55	2.50	33	1700
285	5	6	2.55	2.50	15	1750
286	4	5	1.58	1.50	16	1750
287	4	5	1.58	1.50	17	1750
288	3	4	0.71	0.50	18	1750
289	3	4	0.71	0.50	19	1750
290	3	4	0.71	0.50	20	1750
291	3	4	0.71	0.50	21	1750
292	3	4	0.71	0.50	22	1750
293	3	4	0.71	0.50	23	1750
294	3	4	0.71	0.50	24	1750
295	3	3	0.00	0.00	25	1750
296	2	2	1.00	1.00	26	1750
297	2	2	1.00	1.00	27	1750
298	2	2	1.00	1.00	28	1750
299	2	2	1.00	1.00	29	1750
300	2	2	1.00	1.00	30	1750
301	2	1	1.58	1.50	31	1750
302	0	1	2.55	2.50	32	1750
303	0	1	2.55	2.50	33	1750
304	5	6	2.55	2.50	15	1800
305	4	5	1.58	1.50	16	1800
306	4	5	1.58	1.50	17	1800
307	3	4	0.71	0.50	18	1800
308	3	4	0.71	0.50	19	1800
309	3	4	0.71	0.50	20	1800
310	3	4	0.71	0.50	21	1800
311	3	4	0.71	0.50	22	1800
312	3	4	0.71	0.50	23	1800
313	3	4	0.71	0.50	24	1800
314	3	3	0.00	0.00	25	1800
315	2	2	1.00	1.00	26	1800
316	2	2	1.00	1.00	27	1800
317	2	2	1.00	1.00	28	1800
318	2	2	1.00	1.00	29	1800
319	2	2	1.00	1.00	30	1800
320	2	1	1.58	1.50	31	1800
321	0	1	2.55	2.50	32	1800
322	0	1	2.55	2.50	33	1800
323	5	6	2.55	2.50	15	1850
324	4	5	1.58	1.50	16	1850
325	4	5	1.58	1.50	17	1850
326	3	4	0.71	0.50	18	1850
327	3	4	0.71	0.50	19	1850
328	3	4	0.71	0.50	20	1850
329	3	4	0.71	0.50	21	1850
330	3	4	0.71	0.50	22	1850
331	3	4	0.71	0.50	23	1850
332	3	4	0.71	0.50	24	1850
333	3	3	0.00	0.00	25	1850
334	2	2	1.00	1.00	26	1850
335	2	2	1.00	1.00	27	1850
336	2	2	1.00	1.00	28	1850
337	2	2	1.00	1.00	29	1850
338	2	2	1.00	1.00	30	1850
339	2	1	1.58	1.50	31	1850
340	0	1	2.55	2.50	32	1850
341	0	1	2.55	2.50	33	1850
342	5	6	2.55	2.50	15	1900
343	4	5	1.58	1.50	16	1900
344	4	5	1.58	1.50	17	1900
345	3	4	0.71	0.50	18	1900
346	3	4	0.71	0.50	19	1900
347	3	4	0.71	0.50	20	1900
348	3	4	0.71	0.50	21	1900
349	3	4	0.71	0.50	22	1900
350	3	4	0.71	0.50	23	1900
351	3	4	0.71	0.50	24	1900
352	3	3	0.00	0.00	25	1900
353	2	2	1.00	1.00	26	1900
354	2	2	1.00	1.00	27	1900
355	2	2	1.00	1.00	28	1900
356	2	2	1.00	1.00	29	1900
357	2	2	1.00	1.00	30	1900
358	2	1	1.58	1.50	31	1900
359	0	1	2.55	2.50	32	1900
360	0	1	2.55	2.50	33	1900
