	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	5	0	4	3	3.61	3.00	0.0	75.0	800	900
1	5	0	4	3	3.61	3.00	0.0	75.0	850	900
2	5	0	4	3	3.61	3.00	0.0	75.0	900	900
3	5	0	4	3	3.61	3.00	0.0	75.0	950	900
4	5	0	4	3	3.61	3.00	0.0	75.0	1000	900
5	5	0	4	3	3.61	3.00	0.0	75.0	800	950
6	5	0	4	3	3.61	3.00	0.0	75.0	850	950
7	5	0	4	3	3.61	3.00	0.0	75.0	900	950
8	5	0	4	3	3.61	3.00	0.0	75.0	950	950
9	5	0	4	3	3.61	3.00	0.0	75.0	1000	950
10	5	0	4	3	3.61	3.00	0.0	75.0	800	1000
11	5	0	4	3	3.61	3.00	0.0	75.0	850	1000
12	5	0	4	3	3.61	3.00	0.0	75.0	900	1000
13	5	0	4	3	3.61	3.00	0.0	75.0	950	1000
14	5	0	4	3	3.61	3.00	0.0	75.0	1000	1000
15	5	0	4	3	3.61	3.00	0.0	75.0	800	1050
16	5	0	4	3	3.61	3.00	0.0	75.0	850	1050
17	5	0	4	3	3.61	3.00	0.0	75.0	900	1050
18	5	0	4	3	3.61	3.00	0.0	75.0	950	1050
19	5	0	4	3	3.61	3.00	0.0	75.0	1000	1050
20	5	0	4	3	3.61	3.00	0.0	75.0	800	1100
21	5	0	4	3	3.61	3.00	0.0	75.0	850	1100
22	5	0	4	3	3.61	3.00	0.0	75.0	900	1100
23	5	0	4	3	3.61	3.00	0.0	75.0	950	1100
24	5	0	4	3	3.61	3.00	0.0	75.0	1000	1100
