	IN	OUT	RMSE	MAE	enough_zero	delta
0	2	2	0.00	0.00	15	1000
1	2	2	0.00	0.00	16	1000
2	2	2	0.00	0.00	17	1000
3	2	2	0.00	0.00	18	1000
4	2	2	0.00	0.00	19	1000
5	2	2	0.00	0.00	20	1000
6	2	2	0.00	0.00	21	1000
7	2	2	0.00	0.00	22	1000
8	2	2	0.00	0.00	23	1000
9	2	2	0.00	0.00	24	1000
10	0	2	1.41	1.00	25	1000
11	0	2	1.41	1.00	26	1000
12	0	2	1.41	1.00	27	1000
13	0	2	1.41	1.00	28	1000
14	0	2	1.41	1.00	29	1000
15	0	2	1.41	1.00	30	1000
16	0	1	1.58	1.50	31	1000
17	0	1	1.58	1.50	32	1000
18	0	1	1.58	1.50	33	1000
19	2	2	0.00	0.00	15	1050
20	2	2	0.00	0.00	16	1050
21	2	2	0.00	0.00	17	1050
22	2	2	0.00	0.00	18	1050
23	2	2	0.00	0.00	19	1050
24	2	2	0.00	0.00	20	1050
25	2	2	0.00	0.00	21	1050
26	2	2	0.00	0.00	22	1050
27	2	2	0.00	0.00	23	1050
28	2	2	0.00	0.00	24	1050
29	0	2	1.41	1.00	25	1050
30	0	2	1.41	1.00	26	1050
31	0	2	1.41	1.00	27	1050
32	0	2	1.41	1.00	28	1050
33	0	2	1.41	1.00	29	1050
34	0	2	1.41	1.00	30	1050
35	0	1	1.58	1.50	31	1050
36	0	1	1.58	1.50	32	1050
37	0	1	1.58	1.50	33	1050
38	2	2	0.00	0.00	15	1100
39	2	2	0.00	0.00	16	1100
40	2	2	0.00	0.00	17	1100
41	2	2	0.00	0.00	18	1100
42	2	2	0.00	0.00	19	1100
43	2	2	0.00	0.00	20	1100
44	2	2	0.00	0.00	21	1100
45	2	2	0.00	0.00	22	1100
46	2	2	0.00	0.00	23	1100
47	2	2	0.00	0.00	24	1100
48	0	2	1.41	1.00	25	1100
49	0	2	1.41	1.00	26	1100
50	0	2	1.41	1.00	27	1100
51	0	2	1.41	1.00	28	1100
52	0	2	1.41	1.00	29	1100
53	0	2	1.41	1.00	30	1100
54	0	1	1.58	1.50	31	1100
55	0	1	1.58	1.50	32	1100
56	0	1	1.58	1.50	33	1100
57	2	2	0.00	0.00	15	1150
58	2	2	0.00	0.00	16	1150
59	2	2	0.00	0.00	17	1150
60	2	2	0.00	0.00	18	1150
61	2	2	0.00	0.00	19	1150
62	2	2	0.00	0.00	20	1150
63	2	2	0.00	0.00	21	1150
64	2	2	0.00	0.00	22	1150
65	2	2	0.00	0.00	23	1150
66	2	2	0.00	0.00	24	1150
67	0	2	1.41	1.00	25	1150
68	0	2	1.41	1.00	26	1150
69	0	2	1.41	1.00	27	1150
70	0	2	1.41	1.00	28	1150
71	0	2	1.41	1.00	29	1150
72	0	2	1.41	1.00	30	1150
73	0	1	1.58	1.50	31	1150
74	0	1	1.58	1.50	32	1150
75	0	1	1.58	1.50	33	1150
76	2	2	0.00	0.00	15	1200
77	2	2	0.00	0.00	16	1200
78	2	2	0.00	0.00	17	1200
79	2	2	0.00	0.00	18	1200
80	2	2	0.00	0.00	19	1200
81	2	2	0.00	0.00	20	1200
82	2	2	0.00	0.00	21	1200
83	2	2	0.00	0.00	22	1200
84	2	2	0.00	0.00	23	1200
85	2	2	0.00	0.00	24	1200
86	0	2	1.41	1.00	25	1200
87	0	2	1.41	1.00	26	1200
88	0	2	1.41	1.00	27	1200
89	0	2	1.41	1.00	28	1200
90	0	2	1.41	1.00	29	1200
91	0	2	1.41	1.00	30	1200
92	0	1	1.58	1.50	31	1200
93	0	1	1.58	1.50	32	1200
94	0	1	1.58	1.50	33	1200
95	2	2	0.00	0.00	15	1250
96	2	2	0.00	0.00	16	1250
97	2	2	0.00	0.00	17	1250
98	2	2	0.00	0.00	18	1250
99	2	2	0.00	0.00	19	1250
100	2	2	0.00	0.00	20	1250
101	2	2	0.00	0.00	21	1250
102	2	2	0.00	0.00	22	1250
103	2	2	0.00	0.00	23	1250
104	2	2	0.00	0.00	24	1250
105	0	2	1.41	1.00	25	1250
106	0	2	1.41	1.00	26	1250
107	0	2	1.41	1.00	27	1250
108	0	2	1.41	1.00	28	1250
109	0	2	1.41	1.00	29	1250
110	0	2	1.41	1.00	30	1250
111	0	1	1.58	1.50	31	1250
112	0	1	1.58	1.50	32	1250
113	0	1	1.58	1.50	33	1250
114	2	2	0.00	0.00	15	1300
115	2	2	0.00	0.00	16	1300
116	2	2	0.00	0.00	17	1300
117	2	2	0.00	0.00	18	1300
118	2	2	0.00	0.00	19	1300
119	2	2	0.00	0.00	20	1300
120	2	2	0.00	0.00	21	1300
121	2	2	0.00	0.00	22	1300
122	2	2	0.00	0.00	23	1300
123	2	2	0.00	0.00	24	1300
124	0	2	1.41	1.00	25	1300
125	0	2	1.41	1.00	26	1300
126	0	2	1.41	1.00	27	1300
127	0	2	1.41	1.00	28	1300
128	0	2	1.41	1.00	29	1300
129	0	2	1.41	1.00	30	1300
130	0	1	1.58	1.50	31	1300
131	0	1	1.58	1.50	32	1300
132	0	1	1.58	1.50	33	1300
133	2	2	0.00	0.00	15	1350
134	2	2	0.00	0.00	16	1350
135	2	2	0.00	0.00	17	1350
136	2	2	0.00	0.00	18	1350
137	2	2	0.00	0.00	19	1350
138	2	2	0.00	0.00	20	1350
139	2	2	0.00	0.00	21	1350
140	2	2	0.00	0.00	22	1350
141	2	2	0.00	0.00	23	1350
142	2	2	0.00	0.00	24	1350
143	0	2	1.41	1.00	25	1350
144	0	2	1.41	1.00	26	1350
145	0	2	1.41	1.00	27	1350
146	0	2	1.41	1.00	28	1350
147	0	2	1.41	1.00	29	1350
148	0	2	1.41	1.00	30	1350
149	0	1	1.58	1.50	31	1350
150	0	1	1.58	1.50	32	1350
151	0	1	1.58	1.50	33	1350
152	2	2	0.00	0.00	15	1400
153	2	2	0.00	0.00	16	1400
154	2	2	0.00	0.00	17	1400
155	2	2	0.00	0.00	18	1400
156	2	2	0.00	0.00	19	1400
157	2	2	0.00	0.00	20	1400
158	2	2	0.00	0.00	21	1400
159	2	2	0.00	0.00	22	1400
160	2	2	0.00	0.00	23	1400
161	2	2	0.00	0.00	24	1400
162	0	2	1.41	1.00	25	1400
163	0	2	1.41	1.00	26	1400
164	0	2	1.41	1.00	27	1400
165	0	2	1.41	1.00	28	1400
166	0	2	1.41	1.00	29	1400
167	0	2	1.41	1.00	30	1400
168	0	1	1.58	1.50	31	1400
169	0	1	1.58	1.50	32	1400
170	0	1	1.58	1.50	33	1400
171	2	2	0.00	0.00	15	1450
172	2	2	0.00	0.00	16	1450
173	2	2	0.00	0.00	17	1450
174	2	2	0.00	0.00	18	1450
175	2	2	0.00	0.00	19	1450
176	2	2	0.00	0.00	20	1450
177	2	2	0.00	0.00	21	1450
178	2	2	0.00	0.00	22	1450
179	2	2	0.00	0.00	23	1450
180	2	2	0.00	0.00	24	1450
181	0	2	1.41	1.00	25	1450
182	0	2	1.41	1.00	26	1450
183	0	2	1.41	1.00	27	1450
184	0	2	1.41	1.00	28	1450
185	0	2	1.41	1.00	29	1450
186	0	2	1.41	1.00	30	1450
187	0	1	1.58	1.50	31	1450
188	0	1	1.58	1.50	32	1450
189	0	1	1.58	1.50	33	1450
190	2	2	0.00	0.00	15	1500
191	2	2	0.00	0.00	16	1500
192	2	2	0.00	0.00	17	1500
193	2	2	0.00	0.00	18	1500
194	2	2	0.00	0.00	19	1500
195	2	2	0.00	0.00	20	1500
196	2	2	0.00	0.00	21	1500
197	2	2	0.00	0.00	22	1500
198	2	2	0.00	0.00	23	1500
199	2	2	0.00	0.00	24	1500
200	0	2	1.41	1.00	25	1500
201	0	2	1.41	1.00	26	1500
202	0	2	1.41	1.00	27	1500
203	0	2	1.41	1.00	28	1500
204	0	2	1.41	1.00	29	1500
205	0	2	1.41	1.00	30	1500
206	0	1	1.58	1.50	31	1500
207	0	1	1.58	1.50	32	1500
208	0	1	1.58	1.50	33	1500
209	2	2	0.00	0.00	15	1550
